images,labels
./Identify/images/train\China_Drone_000251.jpg,['0 0.2314453125 0.572265625 0.310546875 0.85546875\n']
./Identify/images/train\China_Drone_000255.jpg,"['0 0.19921875 0.765625 0.05859375 0.46875\n', '0 0.3193359375 0.359375 0.095703125 0.71484375\n']"
./Identify/images/train\China_Drone_000258.jpg,['2 0.8330078125 0.6904296875 0.220703125 0.474609375\n']
./Identify/images/train\China_Drone_000260.jpg,['0 0.2861328125 0.43359375 0.525390625 0.34765625\n']
./Identify/images/train\China_Drone_000261.jpg,['0 0.603515625 0.248046875 0.0546875 0.453125\n']
./Identify/images/train\China_Drone_000264.jpg,"['1 0.5341796875 0.2265625 0.349609375 0.046875\n', '0 0.5087890625 0.10546875 0.044921875 0.20703125\n']"
./Identify/images/train\China_Drone_000266.jpg,['2 0.6376953125 0.4306640625 0.287109375 0.251953125\n']
./Identify/images/train\China_Drone_000267.jpg,"['1 0.2099609375 0.8515625 0.166015625 0.02734375\n', '1 0.40234375 0.806640625 0.05859375 0.02734375\n']"
./Identify/images/train\China_Drone_000268.jpg,['1 0.5478515625 0.1455078125 0.111328125 0.083984375\n']
./Identify/images/train\China_Drone_000271.jpg,"['1 0.103515625 0.318359375 0.203125 0.05078125\n', '2 0.40625 0.3515625 0.30859375 0.18359375\n']"
./Identify/images/train\China_Drone_000272.jpg,['2 0.8564453125 0.5908203125 0.267578125 0.326171875\n']
./Identify/images/train\China_Drone_000275.jpg,['1 0.091796875 0.427734375 0.1796875 0.046875\n']
./Identify/images/train\China_Drone_000276.jpg,['2 0.78125 0.927734375 0.4296875 0.140625\n']
./Identify/images/train\China_Drone_000277.jpg,"['0 0.1142578125 0.5458984375 0.056640625 0.888671875\n', '1 0.1259765625 0.7724609375 0.240234375 0.072265625\n']"
./Identify/images/train\China_Drone_000280.jpg,['1 0.0751953125 0.50390625 0.146484375 0.05078125\n']
./Identify/images/train\China_Drone_000283.jpg,['1 0.4248046875 0.6748046875 0.830078125 0.236328125\n']
./Identify/images/train\China_Drone_000284.jpg,"['0 0.203125 0.27734375 0.30859375 0.21875\n', '0 0.708984375 0.162109375 0.375 0.3203125\n']"
./Identify/images/train\China_Drone_000293.jpg,['1 0.873046875 0.9267578125 0.25390625 0.072265625\n']
./Identify/images/train\China_Drone_000295.jpg,"['1 0.2568359375 0.5791015625 0.509765625 0.107421875\n', '2 0.2041015625 0.859375 0.404296875 0.27734375\n']"
./Identify/images/train\China_Drone_000296.jpg,['1 0.77734375 0.5625 0.3515625 0.05859375\n']
./Identify/images/train\China_Drone_000297.jpg,"['1 0.6748046875 0.74609375 0.326171875 0.09375\n', '0 0.6923828125 0.8818359375 0.041015625 0.236328125\n']"
./Identify/images/train\China_Drone_000300.jpg,['0 0.8681640625 0.5009765625 0.072265625 0.998046875\n']
./Identify/images/train\China_Drone_000301.jpg,"['1 0.1494140625 0.7685546875 0.072265625 0.025390625\n', '1 0.4130859375 0.7490234375 0.314453125 0.048828125\n', '1 0.7978515625 0.8134765625 0.404296875 0.072265625\n']"
./Identify/images/train\China_Drone_000304.jpg,"['1 0.2373046875 0.5283203125 0.107421875 0.029296875\n', '1 0.458984375 0.46875 0.15625 0.0859375\n']"
./Identify/images/train\China_Drone_000310.jpg,['0 0.4697265625 0.36328125 0.091796875 0.63671875\n']
./Identify/images/train\China_Drone_000311.jpg,['2 0.689453125 0.8154296875 0.2265625 0.236328125\n']
./Identify/images/train\China_Drone_000313.jpg,"['0 0.4375 0.224609375 0.046875 0.421875\n', '0 0.3349609375 0.72265625 0.052734375 0.5546875\n', '0 0.45703125 0.9150390625 0.06640625 0.169921875\n']"
./Identify/images/train\China_Drone_000315.jpg,"['2 0.7158203125 0.6044921875 0.103515625 0.103515625\n', '3 0.2236328125 0.88671875 0.119140625 0.078125\n']"
./Identify/images/train\China_Drone_000317.jpg,"['1 0.3505859375 0.76953125 0.138671875 0.04296875\n', '1 0.1298828125 0.931640625 0.255859375 0.04296875\n']"
./Identify/images/train\China_Drone_000319.jpg,"['1 0.2138671875 0.3837890625 0.099609375 0.037109375\n', '1 0.435546875 0.349609375 0.16015625 0.07421875\n']"
./Identify/images/train\China_Drone_000320.jpg,['0 0.14453125 0.5439453125 0.0625 0.185546875\n']
./Identify/images/train\China_Drone_000324.jpg,['0 0.4345703125 0.54296875 0.087890625 0.28515625\n']
./Identify/images/train\China_Drone_000325.jpg,['0 0.6591796875 0.2861328125 0.072265625 0.478515625\n']
./Identify/images/train\China_Drone_000326.jpg,"['0 0.56640625 0.578125 0.04296875 0.453125\n', '0 0.7001953125 0.228515625 0.099609375 0.421875\n', '0 0.724609375 0.56640625 0.03515625 0.21484375\n', '0 0.7265625 0.86328125 0.06640625 0.2734375\n']"
./Identify/images/train\China_Drone_000328.jpg,['0 0.2744140625 0.603515625 0.052734375 0.34765625\n']
./Identify/images/train\China_Drone_000329.jpg,"['0 0.28125 0.5927734375 0.04296875 0.318359375\n', '1 0.6396484375 0.5966796875 0.525390625 0.107421875\n']"
./Identify/images/train\China_Drone_000331.jpg,['0 0.763671875 0.755859375 0.0859375 0.48828125\n']
./Identify/images/train\China_Drone_000337.jpg,"['1 0.228515625 0.7021484375 0.453125 0.052734375\n', '1 0.8310546875 0.6015625 0.337890625 0.06640625\n', '0 0.6962890625 0.2548828125 0.064453125 0.505859375\n']"
./Identify/images/train\China_Drone_000342.jpg,"['0 0.259765625 0.642578125 0.0625 0.1953125\n', '0 0.390625 0.8662109375 0.0703125 0.189453125\n']"
./Identify/images/train\China_Drone_000343.jpg,['0 0.4375 0.40625 0.25390625 0.80859375\n']
./Identify/images/train\China_Drone_000347.jpg,['1 0.6416015625 0.8056640625 0.607421875 0.388671875\n']
./Identify/images/train\China_Drone_000348.jpg,['0 0.076171875 0.5009765625 0.109375 0.998046875\n']
./Identify/images/train\China_Drone_000354.jpg,"['0 0.8076171875 0.4423828125 0.384765625 0.349609375\n', '0 0.3076171875 0.8076171875 0.611328125 0.384765625\n']"
./Identify/images/train\China_Drone_000357.jpg,['0 0.2841796875 0.421875 0.099609375 0.83984375\n']
./Identify/images/train\China_Drone_000358.jpg,"['1 0.2021484375 0.189453125 0.357421875 0.05078125\n', '1 0.3291015625 0.029296875 0.185546875 0.0390625\n', '0 0.208984375 0.4609375 0.03515625 0.18359375\n']"
./Identify/images/train\China_Drone_000359.jpg,['0 0.236328125 0.8486328125 0.046875 0.298828125\n']
./Identify/images/train\China_Drone_000363.jpg,['1 0.35546875 0.7451171875 0.70703125 0.509765625\n']
./Identify/images/train\China_Drone_000367.jpg,"['0 0.865234375 0.55078125 0.078125 0.5078125\n', '2 0.8681640625 0.8671875 0.064453125 0.12109375\n']"
./Identify/images/train\China_Drone_000373.jpg,['1 0.2705078125 0.548828125 0.236328125 0.0546875\n']
./Identify/images/train\China_Drone_000374.jpg,['1 0.3779296875 0.201171875 0.361328125 0.05859375\n']
./Identify/images/train\China_Drone_000378.jpg,['1 0.8837890625 0.50390625 0.208984375 0.03515625\n']
./Identify/images/train\China_Drone_000380.jpg,['1 0.2568359375 0.6162109375 0.361328125 0.119140625\n']
./Identify/images/train\China_Drone_000387.jpg,"['0 0.6201171875 0.208984375 0.044921875 0.3828125\n', '0 0.7578125 0.4248046875 0.06640625 0.736328125\n', '1 0.73046875 0.80078125 0.33984375 0.05859375\n']"
./Identify/images/train\China_Drone_000390.jpg,['1 0.7099609375 0.6416015625 0.505859375 0.142578125\n']
./Identify/images/train\China_Drone_000404.jpg,"['3 0.4814453125 0.89453125 0.123046875 0.12109375\n', '3 0.451171875 0.978515625 0.0546875 0.0390625\n']"
./Identify/images/train\China_Drone_000408.jpg,"['1 0.1708984375 0.4189453125 0.337890625 0.064453125\n', '0 0.3076171875 0.349609375 0.083984375 0.5703125\n']"
./Identify/images/train\China_Drone_000409.jpg,"['0 0.3330078125 0.84765625 0.037109375 0.3046875\n', '0 0.58984375 0.4599609375 0.046875 0.208984375\n']"
./Identify/images/train\China_Drone_000416.jpg,"['1 0.3095703125 0.7275390625 0.076171875 0.033203125\n', '1 0.7275390625 0.751953125 0.533203125 0.05859375\n']"
./Identify/images/train\China_Drone_000419.jpg,"['0 0.8515625 0.25390625 0.078125 0.50390625\n', '0 0.9248046875 0.2763671875 0.060546875 0.201171875\n', '1 0.7490234375 0.6474609375 0.119140625 0.052734375\n', '0 0.80859375 0.5849609375 0.04296875 0.123046875\n', '0 0.8759765625 0.68359375 0.083984375 0.30078125\n', '0 0.2509765625 0.4326171875 0.154296875 0.150390625\n', '2 0.8486328125 0.9228515625 0.150390625 0.154296875\n']"
./Identify/images/train\China_Drone_000422.jpg,"['1 0.34375 0.2548828125 0.0703125 0.033203125\n', '1 0.638671875 0.3203125 0.3125 0.078125\n']"
./Identify/images/train\China_Drone_000425.jpg,"['0 0.056640625 0.228515625 0.04296875 0.453125\n', '0 0.16796875 0.609375 0.10546875 0.78125\n']"
./Identify/images/train\China_Drone_000431.jpg,['1 0.32421875 0.380859375 0.64453125 0.09765625\n']
./Identify/images/train\China_Drone_000433.jpg,"['1 0.697265625 0.66796875 0.17578125 0.07421875\n', '1 0.2919921875 0.2275390625 0.224609375 0.087890625\n', '0 0.4697265625 0.1240234375 0.111328125 0.244140625\n', '1 0.8232421875 0.0498046875 0.353515625 0.064453125\n']"
./Identify/images/train\China_Drone_000437.jpg,['2 0.4599609375 0.7431640625 0.111328125 0.337890625\n']
./Identify/images/train\China_Drone_000439.jpg,['1 0.0908203125 0.29296875 0.146484375 0.03515625\n']
./Identify/images/train\China_Drone_000443.jpg,['0 0.638671875 0.494140625 0.17578125 0.984375\n']
./Identify/images/train\China_Drone_000451.jpg,['3 0.0888671875 0.3212890625 0.072265625 0.060546875\n']
./Identify/images/train\China_Drone_000454.jpg,['1 0.1923828125 0.82421875 0.380859375 0.08984375\n']
./Identify/images/train\China_Drone_000457.jpg,['0 0.0771484375 0.3154296875 0.150390625 0.251953125\n']
./Identify/images/train\China_Drone_000462.jpg,['0 0.328125 0.6328125 0.65234375 0.65234375\n']
./Identify/images/train\China_Drone_000463.jpg,['1 0.6845703125 0.6513671875 0.244140625 0.091796875\n']
./Identify/images/train\China_Drone_000464.jpg,"['1 0.955078125 0.5830078125 0.08984375 0.048828125\n', '1 0.8466796875 0.6435546875 0.119140625 0.037109375\n']"
./Identify/images/train\China_Drone_000471.jpg,['0 0.5703125 0.1171875 0.05859375 0.23046875\n']
./Identify/images/train\China_Drone_000475.jpg,['1 0.3232421875 0.66015625 0.201171875 0.0625\n']
./Identify/images/train\China_Drone_000478.jpg,['1 0.103515625 0.5439453125 0.203125 0.048828125\n']
./Identify/images/train\China_Drone_000479.jpg,['0 0.55078125 0.611328125 0.23828125 0.77734375\n']
./Identify/images/train\China_Drone_000482.jpg,"['1 0.2724609375 0.3935546875 0.294921875 0.083984375\n', '0 0.310546875 0.703125 0.06640625 0.57421875\n']"
./Identify/images/train\China_Drone_000491.jpg,['1 0.048828125 0.4921875 0.09375 0.03125\n']
./Identify/images/train\China_Drone_000493.jpg,['0 0.2705078125 0.431640625 0.134765625 0.4765625\n']
./Identify/images/train\China_Drone_000497.jpg,['2 0.7080078125 0.46484375 0.580078125 0.33203125\n']
./Identify/images/train\China_Drone_000499.jpg,['0 0.6005859375 0.71484375 0.044921875 0.27734375\n']
./Identify/images/train\China_Drone_000501.jpg,['1 0.623046875 0.619140625 0.75390625 0.16796875\n']
./Identify/images/train\China_Drone_000502.jpg,"['1 0.287109375 0.6015625 0.16796875 0.03515625\n', '1 0.4853515625 0.55859375 0.064453125 0.03125\n']"
./Identify/images/train\China_Drone_000506.jpg,['1 0.349609375 0.4384765625 0.38671875 0.060546875\n']
./Identify/images/train\China_Drone_000514.jpg,['0 0.2451171875 0.8427734375 0.048828125 0.314453125\n']
./Identify/images/train\China_Drone_000516.jpg,['0 0.4951171875 0.2861328125 0.087890625 0.568359375\n']
./Identify/images/train\China_Drone_000518.jpg,['1 0.5 0.2734375 0.99609375 0.29296875\n']
./Identify/images/train\China_Drone_000519.jpg,['1 0.767578125 0.4052734375 0.46484375 0.126953125\n']
./Identify/images/train\China_Drone_000520.jpg,"['0 0.333984375 0.630859375 0.2734375 0.45703125\n', '1 0.654296875 0.5244140625 0.34765625 0.244140625\n', '1 0.16796875 0.876953125 0.30078125 0.21875\n']"
./Identify/images/train\China_Drone_000522.jpg,['1 0.681640625 0.033203125 0.63671875 0.0625\n']
./Identify/images/train\China_Drone_000531.jpg,['0 0.220703125 0.7998046875 0.07421875 0.400390625\n']
./Identify/images/train\China_Drone_000535.jpg,['0 0.4990234375 0.5009765625 0.080078125 0.998046875\n']
./Identify/images/train\China_Drone_000540.jpg,['0 0.4462890625 0.7685546875 0.072265625 0.259765625\n']
./Identify/images/train\China_Drone_000541.jpg,"['3 0.3974609375 0.4619140625 0.146484375 0.193359375\n', '3 0.92578125 0.0703125 0.1484375 0.13671875\n']"
./Identify/images/train\China_Drone_000542.jpg,['1 0.2626953125 0.673828125 0.369140625 0.12890625\n']
./Identify/images/train\China_Drone_000550.jpg,['1 0.8427734375 0.5458984375 0.310546875 0.056640625\n']
./Identify/images/train\China_Drone_000551.jpg,['1 0.0869140625 0.1240234375 0.169921875 0.076171875\n']
./Identify/images/train\China_Drone_000553.jpg,['0 0.6865234375 0.2255859375 0.044921875 0.447265625\n']
./Identify/images/train\China_Drone_000554.jpg,['1 0.3857421875 0.744140625 0.470703125 0.09765625\n']
./Identify/images/train\China_Drone_000558.jpg,"['0 0.169921875 0.3662109375 0.05078125 0.189453125\n', '1 0.1767578125 0.8544921875 0.216796875 0.048828125\n']"
./Identify/images/train\China_Drone_000559.jpg,['2 0.1298828125 0.841796875 0.177734375 0.15234375\n']
./Identify/images/train\China_Drone_000568.jpg,['1 0.662109375 0.4091796875 0.37890625 0.091796875\n']
./Identify/images/train\China_Drone_000574.jpg,['0 0.80078125 0.8447265625 0.11328125 0.310546875\n']
./Identify/images/train\China_Drone_000581.jpg,['1 0.0947265625 0.52734375 0.185546875 0.05078125\n']
./Identify/images/train\China_Drone_000582.jpg,['0 0.458984375 0.7392578125 0.0546875 0.154296875\n']
./Identify/images/train\China_Drone_000584.jpg,"['1 0.103515625 0.1103515625 0.16796875 0.041015625\n', '0 0.169921875 0.306640625 0.046875 0.31640625\n']"
./Identify/images/train\China_Drone_000587.jpg,"['0 0.0908203125 0.1923828125 0.060546875 0.380859375\n', '1 0.0888671875 0.212890625 0.173828125 0.046875\n', '1 0.158203125 0.3642578125 0.15234375 0.041015625\n']"
./Identify/images/train\China_Drone_000588.jpg,"['0 0.046875 0.7958984375 0.05859375 0.349609375\n', '2 0.1171875 0.9482421875 0.15234375 0.080078125\n', '1 0.443359375 0.97265625 0.46484375 0.0546875\n']"
./Identify/images/train\China_Drone_000592.jpg,['1 0.2666015625 0.5048828125 0.513671875 0.080078125\n']
./Identify/images/train\China_Drone_000594.jpg,['0 0.03125 0.919921875 0.05859375 0.16015625\n']
./Identify/images/train\China_Drone_000595.jpg,['1 0.451171875 0.744140625 0.8984375 0.10546875\n']
./Identify/images/train\China_Drone_000600.jpg,"['0 0.51171875 0.1533203125 0.05078125 0.302734375\n', '0 0.455078125 0.6181640625 0.0703125 0.623046875\n']"
./Identify/images/train\China_Drone_000604.jpg,['2 0.59765625 0.677734375 0.8046875 0.57421875\n']
./Identify/images/train\China_Drone_000607.jpg,"['1 0.6787109375 0.8974609375 0.642578125 0.068359375\n', '2 0.31640625 0.931640625 0.0703125 0.05859375\n']"
./Identify/images/train\China_Drone_000609.jpg,"['1 0.2294921875 0.6630859375 0.333984375 0.056640625\n', '0 0.146484375 0.3115234375 0.05859375 0.126953125\n']"
./Identify/images/train\China_Drone_000612.jpg,"['1 0.5859375 0.185546875 0.79296875 0.1015625\n', '0 0.765625 0.443359375 0.046875 0.26171875\n', '0 0.8486328125 0.765625 0.060546875 0.2109375\n']"
./Identify/images/train\China_Drone_000614.jpg,['0 0.6708984375 0.76953125 0.111328125 0.4609375\n']
./Identify/images/train\China_Drone_000615.jpg,"['0 0.7568359375 0.1103515625 0.060546875 0.216796875\n', '0 0.619140625 0.5244140625 0.0625 0.345703125\n', '0 0.6533203125 0.85546875 0.072265625 0.28515625\n']"
./Identify/images/train\China_Drone_000632.jpg,"['1 0.5078125 0.15625 0.3828125 0.046875\n', '0 0.0859375 0.6904296875 0.08203125 0.619140625\n']"
